identity_id,identity_dir,num_images_found,num_images_success,num_images_failed,num_templates_added,status,reason
102040,D:\Liang\Pcode\Face Recognition System\identities\102040,,,,15,skipped,already_exists_in_gallery
102041,D:\Liang\Pcode\Face Recognition System\identities\102041,,,,15,skipped,already_exists_in_gallery
102042,D:\Liang\Pcode\Face Recognition System\identities\102042,,,,15,skipped,already_exists_in_gallery
102043,D:\Liang\Pcode\Face Recognition System\identities\102043,,,,15,skipped,already_exists_in_gallery
102044,D:\Liang\Pcode\Face Recognition System\identities\102044,,,,15,skipped,already_exists_in_gallery
102045,D:\Liang\Pcode\Face Recognition System\identities\102045,,,,15,skipped,already_exists_in_gallery
102047,D:\Liang\Pcode\Face Recognition System\identities\102047,,,,15,skipped,already_exists_in_gallery
102049,D:\Liang\Pcode\Face Recognition System\identities\102049,,,,15,skipped,already_exists_in_gallery
102050,D:\Liang\Pcode\Face Recognition System\identities\102050,,,,15,skipped,already_exists_in_gallery
102051,D:\Liang\Pcode\Face Recognition System\identities\102051,,,,15,skipped,already_exists_in_gallery
102052,D:\Liang\Pcode\Face Recognition System\identities\102052,,,,15,skipped,already_exists_in_gallery
102056,D:\Liang\Pcode\Face Recognition System\identities\102056,,,,15,skipped,already_exists_in_gallery
102057,D:\Liang\Pcode\Face Recognition System\identities\102057,,,,15,skipped,already_exists_in_gallery
102058,D:\Liang\Pcode\Face Recognition System\identities\102058,,,,15,skipped,already_exists_in_gallery
102059,D:\Liang\Pcode\Face Recognition System\identities\102059,,,,15,skipped,already_exists_in_gallery
102060,D:\Liang\Pcode\Face Recognition System\identities\102060,,,,15,skipped,already_exists_in_gallery
102061,D:\Liang\Pcode\Face Recognition System\identities\102061,,,,15,skipped,already_exists_in_gallery
102062,D:\Liang\Pcode\Face Recognition System\identities\102062,,,,15,skipped,already_exists_in_gallery
102063,D:\Liang\Pcode\Face Recognition System\identities\102063,,,,15,skipped,already_exists_in_gallery
102065,D:\Liang\Pcode\Face Recognition System\identities\102065,,,,15,skipped,already_exists_in_gallery
